12-11-2017 19:30:18|GetORESScore: Query of ORES score from revid 338957|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:30:18|GetORESScore: Query of ORES score from revid done, Strings: GF: 0,33389026653436876 DMG:0,6324989424842626|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:30:18|GetORESScore: Query of ORES score from revid done, Double: GF: 33,39 DMG:63,25|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:30:18|GrillitusArchive: Page User:PeriodiBOT|LOCAL|PeriodiBOT-TestWiki|LOG
12-11-2017 19:30:19|GetLastRevID: Starting Wikipedia last RevisionID of page "User:PeriodiBOT/Archivo-00-índice".|LOCAL|PeriodiBOT-TestWiki|LOG
12-11-2017 19:30:19|GetLastRevID: Query of last RevisionID of page "User%3APeriodiBOT%2FArchivo-00-%C3%ADndice".|LOCAL|PeriodiBOT-TestWiki|LOG
12-11-2017 19:30:19|GetORESScore: Query of ORES score from revid 338925|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:30:19|GetLastRevID: Query of last RevisionID of page "User%3APeriodiBOT%2FArchivo-00-%C3%ADndice successful, result: 338925|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:30:19|GetORESScore: Query of ORES score from revid done, Double: GF: 34,68 DMG:82,08|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:30:19|GetORESScore: Query of ORES score from revid done, Strings: GF: 0,34684572181425644 DMG:0,8208173801364962|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:31:37|GetLastRevID: Starting Wikipedia last RevisionID of page "User:PeriodiBOT".|LOCAL|PeriodiBOT-TestWiki|LOG
12-11-2017 19:31:37|GetLastRevID: Query of last RevisionID of page "User%3APeriodiBOT".|LOCAL|PeriodiBOT-TestWiki|LOG
12-11-2017 19:31:37|GetLastRevID: Query of last RevisionID of page "User%3APeriodiBOT successful, result: 338957|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:31:37|GetORESScore: Query of ORES score from revid 338957|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:31:37|GetORESScore: Query of ORES score from revid done, Strings: GF: 0,33389026653436876 DMG:0,6324989424842626|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:31:37|GetORESScore: Query of ORES score from revid done, Double: GF: 33,39 DMG:63,25|LOCAL|PeriodiBOT-TestWiki|DEBUG
12-11-2017 19:31:38|GrillitusArchive: Page User:PeriodiBOT|LOCAL|PeriodiBOT-TestWiki|LOG
12-11-2017 19:31:43|GetLastRevID: Starting Wikipedia last RevisionID of page "User:PeriodiBOT/Archivo-00-índice".|LOCAL|PeriodiBOT-TestWiki|LOG
12-11-2017 19:31:43|GetLastRevID: Query of last RevisionID of page "User%3APeriodiBOT%2FArchivo-00-%C3%ADndice".|LOCAL|PeriodiBOT-TestWiki|LOG
12-11-2017 19:31:43|GetLastRevID: Query of last RevisionID of page "User%3APeriodiBOT%2FArchivo-00-%C3%ADndice successful, result: 338925|LOCAL|PeriodiBOT-TestWiki|DEBUG
